activity,duration,start_hour,start_min,end_hour,end_min
breakfast,7200,7,0,11,0
brunch,7200,11,0,13,0
lunch,7200,13,0,15,30
dinner,7200,19,0,23,0
supper,7200,17,0,19,30
coffee,7200,9,0,18,0
drink,7200,18,0,23,59
meet,7200,9,0,22,0
hangout,7200,9,0,23,0
workout,3600,7,0,23,0
execise,3600,7,0,23,0
play,3600,7,0,23,0
read,7200,7,0,23,0
cook,3600,7,0,23,0
bake,7200,7,0,23,0
shopping,3600,7,0,23,0
write,3600,7,0,23,0
listen,3600,7,0,23,0
watch,3600,7,0,23,0
call,3600,7,0,23,0
go,3600,7,0,23,0
appointment,7200,7,0,23,0
run,3600,7,0,23,0
manicure,3600,9,0,20,0
party,14400,17,0,23,0
birthday,10800,17,0,23,0
wedding,21600,17,0,23,0
